Year,Month,PrecipTRMM1,PrecipTRMM2,PrecipTRMM3,PrecipTRMM4,PrecipTRMM5,PrecipTRMM6,PrecipTRMM7,PrecipTRMM8,PrecipTRMM9,PrecipTRMM10,PrecipTRMM11,PrecipTRMM12,PrecipTRMM13,PrecipTRMM14
1998,1,0.00096,0.00202,0.00416,0.04255,0.00177,0.00472,0.00583,0.01106,0.05888,0.03558,0.02341,0.04569,0.02662,0.00456
1998,2,0.00159,0.0068,0.00534,0.00926,0.00611,0.00037,0.00191,0.00472,0.00439,0.01201,0.00025,0.00639,0.00055,0.00061
1998,3,0.00256,0.01315,0.01623,0.03699,0.02481,0.00064,0.00422,0.01539,0.01387,0.0202,0.0082,0.01943,0.01617,0.00078
1998,4,0.03585,0.05297,0.06726,0.16725,0.13224,0.00636,0.00869,0.07585,0.15285,0.07991,0.10322,0.07856,0.08635,0.01368
1998,5,0.17194,0.29682,0.30258,0.28424,0.34641,0.23923,0.27685,0.25968,0.26549,0.33885,0.28269,0.31187,0.27563,0.11258
1998,6,1.6725,1.41584,1.2519,0.8855,0.39344,1.20416,1.11751,1.09999,0.86187,0.50605,0.74572,0.47447,0.44674,0.88474
1998,7,1.43764,1.2451,0.90693,0.55567,0.28469,0.82834,0.5803,0.61496,0.3761,0.38634,0.35556,0.39686,0.38836,0.99371
1998,8,0.59402,0.50908,0.41851,0.50127,0.27169,0.43602,0.41077,0.3947,0.40431,0.28242,0.29821,0.21459,0.23203,0.59732
1998,9,0.93056,0.70633,0.6848,0.67142,0.50143,0.64006,0.60636,0.61337,0.4775,0.44134,0.35572,0.33419,0.29784,0.60123
1998,10,0.48028,0.64175,0.56667,0.56448,0.58673,0.41771,0.53033,0.45627,0.32373,0.39482,0.28202,0.22291,0.20352,0.34772
1998,11,0.11011,0.17388,0.16882,0.21976,0.33866,0.13252,0.2129,0.30431,0.33428,0.31521,0.34398,0.26367,0.1768,0.09294
1998,12,0.06004,0.08161,0.09506,0.19931,0.32184,0.08069,0.12397,0.1367,0.25044,0.23504,0.32421,0.24284,0.40771,0.01292
1999,1,0.00176,0.00186,0.00166,0.01513,0.0143,0.01732,0.00064,0.00492,0.01883,0.02568,0.01768,0.02531,0.01983,0.00229
1999,2,0.00297,0.00544,0.0091,0.04705,0.12819,0.00068,0.00919,0.01262,0.02018,0.05048,0.01098,0.04124,0.03463,0.00231
1999,3,0.00257,0.02236,0.03695,0.04932,0.04322,0.00051,0.0028,0.01407,0.037711693,0.04404,0.00935,0.04383,0.00734,0.00045
1999,4,0.03979,0.11602,0.13909,0.32199,0.26115,0.00717,0.05114,0.08414,0.17328645,0.25053,0.07176,0.09645,0.05066,0.02
1999,5,0.73397,0.65172,0.63575,0.66095,0.56315,0.78041,0.55757,0.54126,0.396265122,0.47504,0.44422,0.46195,0.47851,0.37308
1999,6,1.18151,0.88343,0.8369,0.67203,0.55899,0.75925,0.49842,0.5753,0.438286416,0.4402,0.37727,0.30707,0.34125,0.91152
1999,7,1.87436,1.2911,0.91001,0.66762,0.33545,1.28066,1.03972,0.8568,0.654319586,0.36115,0.60929,0.40965,0.48455,1.40704
1999,8,0.68297,0.44436,0.28864,0.29758,0.13609,0.31101,0.22588,0.22123,0.251776701,0.19153,0.20704,0.19749,0.17339,0.33542
1999,9,0.26528,0.12668,0.08137,0.16738,0.09141,0.16027,0.14361,0.11708,0.166804684,0.15526,0.14121,0.15649,0.12925,0.20332
1999,10,0.58695,0.62288,0.64323,0.84873,0.79102,0.39702,0.40546,0.43637,0.499186009,0.56866,0.41119,0.39874,0.35972,0.34417
1999,11,0.06836,0.11672,0.12635,0.19972,0.17857,0.05922,0.09761,0.09712,0.1498776,0.12266,0.11944,0.10333,0.10225,0.00833
1999,12,0.00987,0.00458,0.00757,0.0228,0.01699,0.00604,0.0224,0.01968,0.035236895,0.03805,0.05679,0.051,0.10255,0.00085
2000,1,0.0159,0.01255,0.01185,0.03027,0.0187,0.02901,0.03383,0.0227,0.035105847,0.02575,0.04158,0.05213,0.15069,0.00494
2000,2,0.00251,0.01187,0.04475,0.15725,0.22917,0.00073,0.01858,0.01668,0.053593751,0.10722,0.03324,0.05261,0.0667,0.00202
2000,3,0.00238,0.00353,0.01161,0.07241,0.0413,0.00306,0.00876,0.0051,0.01585211,0.06603,0.00234,0.05219,0.02353,0.00102
2000,4,0.08862,0.13233,0.12707,0.17894,0.21034,0.0712,0.0956,0.11142,0.121908853,0.19228,0.06998,0.20192,0.18733,0.04873
2000,5,0.35013,0.2666,0.20364,0.2115,0.07342,0.28214,0.22589,0.23866,0.252961184,0.18671,0.23089,0.25452,0.26732,0.26309
2000,6,1.44702,1.16698,0.87399,0.77577,0.47825,1.12824,1.00832,0.87293,0.665270842,0.52774,0.55587,0.4456,0.44283,1.01865
2000,7,1.07761,0.76993,0.50425,0.40945,0.15283,0.68152,0.48077,0.46244,0.311960688,0.22811,0.20049,0.24099,0.18232,1.04955
2000,8,0.84059,0.84543,0.61524,0.71138,0.55368,0.6437,0.55121,0.66771,0.461345761,0.46502,0.46953,0.43164,0.31372,0.78136
2000,9,0.22786,0.25278,0.2033,0.39235,0.31149,0.30425,0.35489,0.26591,0.414328105,0.30945,0.31833,0.2699,0.24421,0.26624
2000,10,0.28921,0.36386,0.32394,0.29132,0.19552,0.21071,0.19752,0.30183,0.295244439,0.24491,0.27558,0.19534,0.1934,0.22205
2000,11,0.03526,0.20187,0.21619,0.22366,0.2048,0.06436,0.25369,0.24972,0.214742184,0.19075,0.19126,0.18642,0.13215,0.01153
2000,12,0.03408,0.09641,0.08205,0.06623,0.12816,0.02945,0.07838,0.06048,0.055206651,0.04825,0.03532,0.01547,0.01081,0.00307
2001,1,0.00371,0.01449,0.02219,0.03139,0.0406,0.00285,0.00517,0.02079,0.05125,0.06068,0.05998,0.10055,0.11107,0.00443
2001,2,0.00317,0.01943,0.07423,0.12062,0.04755,0.00045,0.0182,0.21989,0.11507,0.049,0.07795,0.09566,0.0554,0.00049
2001,3,0.00156,0.00146,0.00486,0.01158,0.01659,0.00043,0.00093,0.00765,0.0122,0.015,0.00427,0.0028,0.00393,0.00096
2001,4,0.15465,0.27373,0.38778,0.41581,0.33149,0.10536,0.14657,0.18744,0.28093,0.34543,0.19921,0.29128,0.28761,0.09494
2001,5,0.36883,0.49505,0.46721,0.47894,0.23597,0.33656,0.45216,0.50973,0.5532,0.38796,0.4848,0.40786,0.41309,0.16472
2001,6,1.18133,0.923,0.89053,0.8271,0.26961,0.88993,0.91509,0.99635,0.86626,0.57203,0.68091,0.56793,0.51333,0.55316
2001,7,1.00392,0.78298,0.62518,0.56057,0.33105,1.14745,0.97416,0.70432,0.73213,0.54828,0.59378,0.64119,0.49043,0.72807
2001,8,0.54086,0.43553,0.30984,0.21701,0.19825,0.3707,0.30297,0.26065,0.25741,0.21486,0.24314,0.23238,0.21355,0.42045
2001,9,0.2926,0.23559,0.24234,0.34839,0.3987,0.32795,0.34435,0.30791,0.24716,0.35141,0.25555,0.28662,0.31585,0.22779
2001,10,0.31494,0.30141,0.35511,0.36917,0.2655,0.20394,0.21973,0.25788,0.32421,0.37735,0.2425,0.28767,0.18621,0.15293
2001,11,0.14599,0.17252,0.24943,0.26389,0.19688,0.10699,0.15126,0.21519,0.21403,0.11069,0.14536,0.12716,0.15667,0.04721
2001,12,0.01498,0.00425,0.00347,0.03163,0.06054,0.02028,0.01153,0.00817,0.02292,0.04633,0.01574,0.03034,0.04322,0.0039
2002,1,0.00203,0.00522,0.00481,0.01002,0.01213,0.00249,0.001,0.00414412,0.00284,0.0105,0.00951,0.00488,0.01558,0.00325
2002,2,0.00594,0.00539,0.01344,0.05841,0.03336,0.00684,0.00988,0.02002,0.06124,0.05809,0.09657,0.04397,0.03548,0.01413
2002,3,0.00348,0.011,0.02196,0.05189,0.05764,0.00079,0.00196,0.0295,0.06399,0.02523,0.04706,0.02966,0.02434,0.00065
2002,4,0.04563,0.0918,0.11353,0.16015,0.15231,0.03766,0.05165,0.10427,0.10468,0.15395,0.05399,0.11455,0.0765,0.02651
