"Year","Month","EMTperp","We"
1979,1,-167.33859348758,-19.9328555083677
1979,2,-416.767124186059,-3.1980766835993
1979,3,-172.013186806686,-1.96467566969734
1979,4,-296.228977453081,-0.789886608841052
1979,5,-513.750843924853,5.66487216377129
1979,6,-408.674003244532,4.86993153128124
1979,7,-891.912518556663,5.84007514618362
1979,8,-715.099002583921,2.69917772221629
1979,9,-379.477147599038,8.68744222811589
1979,10,-55.7116301210068,-0.340884277934703
1979,11,44.6949170278993,2.84681343413231
1979,12,-114.498842394139,-18.739085170116
1980,1,-213.377137967997,-16.0461613266957
1980,2,-166.508490930618,-7.95437295445373
1980,3,-176.150066403843,-1.35532825886355
1980,4,-164.339107949356,-0.426030468532658
1980,5,-311.271524411109,3.88630360382025
1980,6,-530.081269198353,3.35213690254165
1980,7,-993.418479456062,1.98426305669299
1980,8,-695.697854623893,2.33914881145174
1980,9,-485.59288409917,3.76362611813313
1980,10,-136.987147116607,2.9402788497518
1980,11,-33.5523901926084,-1.79610905665353
1980,12,-147.98564384311,-2.52790173449202
1981,1,-187.422320260666,-13.1241084586423
1981,2,-167.41834602615,-10.2536134069882
1981,3,-205.275156688027,-3.7954927357083
1981,4,-289.765655571202,0.608396196454735
1981,5,-366.663592532963,5.44541483139725
1981,6,-506.81064220552,4.95449153848723
1981,7,-927.0808241572,2.14370361856647
1981,8,-695.594094813225,-0.21169633924227
1981,9,-403.308735826232,7.26046874702785
1981,10,-81.7051910742932,3.55099296358901
1981,11,-136.533837815601,1.16304440761545
1981,12,-163.050343061593,-15.0330412007842
1982,1,-149.225444964214,-25.3081957380485
1982,2,-289.517682240103,-5.46343683324003
1982,3,-381.691562529369,-1.31423394462144
1982,4,-495.313024393539,-0.852390417594143
1982,5,-230.337979193257,2.41000742954998
1982,6,-718.120989612097,9.65813097740859
1982,7,-532.06210005081,4.40934514782217
1982,8,-784.763852987756,0.088566602450271
1982,9,-500.243699172097,6.36715064154914
1982,10,-51.8315499975926,-0.0249139193359725
1982,11,-25.399980940126,-5.16298809687314
1982,12,-139.134454885565,-32.9524448676421
1983,1,-163.033480463986,-22.6368824461351
1983,2,-541.830592192005,-0.898407917161417
1983,3,-495.75373225387,-1.18750655681767
1983,4,-421.684880455223,-0.982289796592824
1983,5,-499.710269278255,3.45480958239661
1983,6,-587.060662476219,6.70572865585042
1983,7,-690.317345730793,0.941750024634848
1983,8,-836.068172133389,2.70592155917348
1983,9,-418.781909760467,4.40394360267628
1983,10,-261.944971659409,4.67209630411981
1983,11,-112.869934907633,1.51227925401819
1983,12,-62.8634335943513,-4.11417972188493
1984,1,-172.283813312178,-11.2091897909145
1984,2,-170.319975238207,-5.69564555100506
1984,3,-32.9937952081575,-0.566599711208519
1984,4,-149.821289810655,1.14676179097484
1984,5,-584.715264180223,6.72022584218741
