time,latitude,longitude,pmsl,u_mean,v_mean,uv_mag_mean,taux_mean,tauy_mean,curl,ektrx,ektry
UTC,degrees_north,degrees_east,Mb,m s-1,m s-1,m s-1,N m-2,N m-2,MPa m-1,kg m-1 s-1,kg m-1 s-1
2010-07-17T12:00:00Z,6.5,68.5,1009.4416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,6.5,69.5,1009.40265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,6.5,70.5,1009.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,6.5,71.5,1009.3298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,6.5,72.5,1009.26013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,7.5,68.5,1009.22095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,7.5,69.5,1009.2042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,7.5,70.5,1009.18005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,7.5,71.5,1009.1604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,7.5,72.5,1009.1065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,8.5,68.5,1008.95374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,8.5,69.5,1008.9625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,8.5,70.5,1008.9615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,8.5,71.5,1008.95776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,8.5,72.5,1008.92914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,9.5,68.5,1008.63556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,9.5,69.5,1008.6677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,9.5,70.5,1008.6953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,9.5,71.5,1008.7099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,9.5,72.5,1008.7034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-17T12:00:00Z,10.5,68.5,1008.28125,6.9354887,2.368764,7.675267,0.086208485,0.030980483,-0.3534772,1168.8506,-3252.5264
2010-07-17T12:00:00Z,10.5,69.5,1008.313,6.9658685,2.5360384,7.788346,0.08726747,0.034137774,-0.38373128,1287.9708,-3292.4805
2010-07-17T12:00:00Z,10.5,70.5,1008.34644,6.9611173,2.5388923,7.8259215,0.08679401,0.034313973,-0.42170238,1294.6185,-3274.6174
2010-07-17T12:00:00Z,10.5,71.5,1008.3786,6.684004,2.367457,7.5806994,0.08020963,0.03079764,-0.41836745,1161.9521,-3026.1978
2010-07-17T12:00:00Z,10.5,72.5,1008.40265,5.9721565,2.2717507,7.0797567,0.066350974,0.027487865,-0.37753177,1037.079,-2503.33
2010-07-17T12:00:00Z,11.5,68.5,1007.8844,7.125454,2.4133751,7.813989,0.087745175,0.030955305,-0.020305498,1067.5388,-3026.0203
2010-07-17T12:00:00Z,11.5,69.5,1007.9093,7.1452026,2.4091675,7.877713,0.0886707,0.032053173,-2.1937118E-4,1105.4004,-3057.9382
2010-07-17T12:00:00Z,11.5,70.5,1007.937,7.1494446,2.6149793,7.9778166,0.09032212,0.035295174,0.012361456,1217.2054,-3114.89
2010-07-17T12:00:00Z,11.5,71.5,1007.98413,6.8791456,2.9102507,7.8963413,0.086035624,0.03878717,-0.016982408,1337.6321,-2967.0637
2010-07-17T12:00:00Z,11.5,72.5,1008.0506,6.127557,3.150473,7.494083,0.071914636,0.039793853,-0.094847806,1372.349,-2480.081
2010-07-17T12:00:00Z,12.5,68.5,1007.4373,7.433393,2.5963018,8.129383,0.09435732,0.033971064,-0.10559696,1079.1362,-2997.3862
2010-07-17T12:00:00Z,12.5,69.5,1007.4671,7.303016,2.4509847,8.007115,0.091745004,0.032451447,-0.06288779,1030.8635,-2914.4026
2010-07-17T12:00:00Z,12.5,70.5,1007.4939,7.185589,2.6209683,7.9937468,0.09091876,0.034898035,0.018534997,1108.5826,-2888.1558
2010-07-17T12:00:00Z,12.5,71.5,1007.54706,6.9566827,3.1816418,8.03677,0.08857464,0.04291273,0.04554558,1363.1802,-2813.6917
2010-07-17T12:00:00Z,12.5,72.5,1007.6459,6.410114,3.657291,7.8686023,0.079374455,0.048685424,-0.0745357,1546.5575,-2521.4355
2010-07-17T12:00:00Z,13.5,68.5,1006.9264,8.018467,2.926523,8.767334,0.11004047,0.04124247,-0.17298828,1214.6838,-3240.9404
2010-07-17T12:00:00Z,13.5,69.5,1006.97144,7.750094,2.7323039,8.499871,0.10359636,0.037906162,-0.14323002,1116.4221,-3051.1467
2010-07-17T12:00:00Z,13.5,70.5,1007.00745,7.419878,2.7335546,8.2446165,0.09691818,0.037325505,-0.037466243,1099.3204,-2854.4595
2010-07-17T12:00:00Z,13.5,71.5,1007.06354,7.0078807,3.270714,8.095833,0.090035714,0.04454738,0.048885014,1312.021,-2651.7551
2010-07-17T12:00:00Z,13.5,72.5,1007.1795,6.596363,3.723223,7.9900255,0.08399048,0.050798032,-0.055065107,1496.1168,-2473.7092
2010-07-17T12:00:00Z,14.5,68.5,1006.3184,8.577488,3.2926521,9.411804,0.12806995,0.050519686,-0.1261909,1387.2822,-3516.8306
2010-07-17T12:00:00Z,14.5,69.5,1006.38885,8.238938,3.2646337,9.131402,0.11954818,0.048775565,-0.14420709,1339.3883,-3282.8208
2010-07-17T12:00:00Z,14.5,70.5,1006.4578,7.6888666,3.242434,8.661896,0.10607518,0.046450466,-0.08704376,1275.5405,-2912.849
2010-07-17T12:00:00Z,14.5,71.5,1006.5451,6.9971695,3.5611658,8.194172,0.09156579,0.04901527,-0.024138447,1345.9706,-2514.4177
2010-07-17T12:00:00Z,14.5,72.5,1006.6807,6.755855,3.5896747,8.040999,0.08704021,0.04943931,-0.12425336,1357.615,-2390.1443
2010-07-17T12:00:00Z,15.5,68.5,1005.6364,8.7859535,3.4828594,9.68099,0.13641813,0.055914346,-0.03621242,1438.5609,-3509.7576
2010-07-17T12:00:00Z,15.5,69.5,1005.7285,8.538902,3.7430158,9.585067,0.13144185,0.059600417,-0.07819377,1533.396,-3381.728
2010-07-17T12:00:00Z,15.5,70.5,1005.8404,7.9465604,3.9164166,9.148046,0.11651038,0.05971714,-0.10327614,1536.399,-2997.572
2010-07-17T12:00:00Z,15.5,71.5,1005.979,7.2048454,3.9750643,8.547147,0.09848742,0.057028513,-0.11777843,1467.2262,-2533.8784
2010-07-17T12:00:00Z,15.5,72.5,1006.1275,7.2352376,3.4325562,8.396784,0.097077034,0.049426205,-0.20640609,1271.6345,-2497.592
2010-07-17T12:00:00Z,16.5,68.5,1004.904,8.951318,3.5257046,9.852615,0.14234366,0.05868361,0.0367678,1420.623,-3445.88
2010-07-17T12:00:00Z,16.5,69.5,1005.00055,8.786334,4.0049186,9.914863,0.14087228,0.06733508,0.034455262,1630.0592,-3410.2607
2010-07-17T12:00:00Z,16.5,70.5,1005.1488,8.164137,4.4880605,9.583911,0.1263583,0.07276329,-0.0583728,1761.4663,-3058.9038
2010-07-17T12:00:00Z,16.5,71.5,1005.34143,7.4777517,4.3299794,8.933703,0.10706153,0.06511115,-0.16994497,1576.222,-2591.7642
2010-07-17T12:00:00Z,16.5,72.5,1005.4941,7.5824904,3.2921267,8.666171,0.10458945,0.048754055,-0.22178458,1180.2466,-2531.9194
2010-07-17T12:00:00Z,17.5,68.5,1004.1061,8.901733,3.4619493,9.782242,0.1396929,0.057217166,0.1936881,1308.2429,-3194.011
2010-07-17T12:00:00Z,17.5,69.5,1004.20404,8.674185,4.1549706,9.884651,0.13846889,0.070129335,0.22950447,1603.4735,-3166.0247
2010-07-17T12:00:00Z,17.5,70.5,1004.39197,8.050326,4.9714966,9.72458,0.12716371,0.08228782,0.06974047,1881.4713,-2907.5369
2010-07-17T12:00:00Z,17.5,71.5,1004.6433,7.5155835,4.743035,9.170637,0.11121559,0.07342723,-0.16525123,1678.8783,-2542.8909
2010-07-17T12:00:00Z,17.5,72.5,1004.8182,7.608688,3.3892002,8.732829,0.105784446,0.050137185,-0.24922624,1146.3625,-2418.7104
2010-07-17T12:00:00Z,18.5,68.5,1003.29456,8.17355,3.254447,9.043943,0.115971185,0.048048172,0.31786337,1041.1284,-2512.9136
2010-07-17T12:00:00Z,18.5,69.5,1003.3981,7.9284487,4.0648584,9.195548,0.11615452,0.06277268,0.3777908,1360.1854,-2516.8862
2010-07-17T12:00:00Z,18.5,70.5,1003.61255,7.5461044,5.104261,9.381843,0.11431712,0.08094367,0.21308433,1753.9222,-2477.0725
2010-07-17T12:00:00Z,18.5,71.5,1003.90314,7.4129276,4.956627,9.207783,0.110076085,0.0765993,-0.088589765,1659.7866,-2385.176
2010-07-17T12:00:00Z,18.5,72.5,1004.0991,7.7091475,3.5766947,8.897265,0.10958096,0.05319902,-0.22904463,1152.7393,-2374.4473
2010-07-17T12:00:00Z,19.5,68.5,1002.543,7.1644187,2.96343,8.025481,0.08853383,0.037383016,0.265504,769.9862,-1823.5508
2010-07-17T12:00:00Z,19.5,69.5,1002.6457,6.98533,3.6731765,8.20844,0.08919671,0.048984796,0.34084728,1008.9506,-1837.2042
2010-07-17T12:00:00Z,19.5,70.5,1002.8519,6.9078584,4.6949735,8.659463,0.09438792,0.067318626,0.25869042,1386.5765,-1944.1287
2010-07-17T12:00:00Z,19.5,71.5,1003.1333,7.214338,4.6689067,8.927342,0.101647265,0.06852428,0.022184957,1411.4097,-2093.6511
2010-07-17T12:00:00Z,19.5,72.5,1003.3207,7.6642,3.528012,8.8566265,0.1065899,0.050594553,-0.09408383,1042.1072,-2195.4556
2010-07-17T12:00:00Z,20.5,68.5,1001.84814,6.3725414,2.7086978,7.229912,0.071973264,0.030935042,0.16273165,607.33636,-1413.0248
2010-07-17T12:00:00Z,20.5,69.5,1001.9492,6.256288,3.2453084,7.4122195,0.07216177,0.0383894,0.21125026,753.68506,-1416.7257
2010-07-17T12:00:00Z,20.5,70.5,1002.12854,6.339032,4.0214334,7.887663,0.077554196,0.051391777,0.19564828,1008.95593,-1522.5931
2010-07-17T12:00:00Z,20.5,71.5,1002.364,6.7992873,4.0951414,8.353869,0.08740399,0.054819517,0.08349555,1076.2516,-1715.9706
2010-07-17T12:00:00Z,20.5,72.5,1002.53436,7.167938,3.3586688,8.379484,0.09197419,0.043839823,0.017167743,860.6912,-1805.6957
