Year,Month,SST.1,SST.2,SST.3,SST.4,SST.5,SST.6,SST.7,SST.8,SST.9,SST.10,SST.11,SST.12,SST.13,SST.14
1981,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,11,28.76152439,28.84910714,28.86683371,28.8458209,28.16697297,28.649936,28.653056,28.726128,28.720816,28.50389718,28.682176,28.524288,28.51264,28.5930622
1981,12,28.35543788,28.50142857,28.62101124,28.7017636,28.71869565,28.107216,28.21656,28.104064,28.287168,28.664992,28.143728,28.542976,28.335968,27.9237619
1982,1,28.06880808,28.08277533,28.07950562,28.20537143,27.4368593,27.839568,27.925088,27.797472,28.113488,27.795152,27.983536,28.001456,27.879312,27.88364055
1982,2,28.10467742,28.26221007,28.37004484,28.38336502,28.17908861,28.004784,28.032592,28.076064,28.206496,28.767584,28.149328,28.5256,27.974304,27.93672811
1982,3,28.45908903,28.55799539,28.74208238,29.00402321,28.96710106,28.490688,28.674496,28.750448,28.840208,29.051056,28.851184,28.889296,28.895104,27.9917734
1982,4,29.07469602,29.36583138,29.55449541,29.75860735,29.88523288,29.14536,29.251952,29.760448,30.096304,30.106144,30.01264,30.171264,30.096704,28.51577114
1982,5,29.79058333,29.52262295,29.5084186,29.61037698,29.30521505,29.690272,30.251856,29.75026016,29.63581395,29.90078526,29.90862676,30.01205298,30.71959807,28.6441791
1982,6,26.08581197,26.52223529,26.81095455,25.21923913,25.28950382,26.36586667,26.62472222,27.37786325,26.93077586,26.05422819,27.42300395,27.11904762,27.8067619,25.86246914
1982,7,27.97111111,28.50857143,28.214,25.8759322,25.17276353,28.09808511,28.48325581,28.64,28.10188841,26.19320683,28.68266055,27.88464957,28.38628866,27.8116
1982,8,25.90589431,26.42337209,26.53869048,26.51922619,26.15525926,26.43324324,26.63164524,26.88412664,27.26453382,26.97541741,27.21355658,27.13456053,27.47799632,25.70083333
1982,9,27.01495495,26.41319693,26.99673123,27.23891068,26.3308311,27.16075397,27.18224638,27.56428839,27.71663327,27.85023891,27.8785399,27.89986733,27.85161179,27.57606936
1982,10,29.26951271,29.56802817,29.29316038,29.04723735,28.0894186,29.258464,29.38849359,29.3428,29.354112,29.003056,29.460784,29.224688,29.27264,29.32360406
1982,11,29.55259875,29.63137209,29.81712984,29.8326499,29.50883657,29.372832,29.550448,29.544592,29.57149038,29.85936,29.240752,29.23167742,29.21633013,28.92647059
1982,12,29.0782268,29.13238532,28.82133484,28.97556405,28.50180108,29.098512,29.038976,28.7512,28.827088,28.760624,28.724592,28.7084,28.509344,28.33666667
1983,1,27.83641975,27.87353604,27.38596847,27.80386973,27.97170103,27.947392,27.830032,27.619424,27.6468,27.990576,27.559008,27.632064,27.367776,27.09941748
1983,2,27.88627083,27.89918794,27.98240909,28.1432567,28.17848,27.718464,27.756528,27.915264,27.845104,28.145936,27.742208,28.023664,27.851984,26.93788945
1983,3,28.00478439,28.15608696,28.35965753,28.57877159,28.67021053,27.959664,28.07536,28.289584,28.385584,28.640544,28.302848,28.52664,28.518016,27.44107843
1983,4,29.10367769,29.39568807,29.52622727,29.85684008,29.55624021,28.983568,29.341248,29.516288,29.591024,29.691744,29.408448,29.584688,29.469136,28.2497549
1983,5,29.61593429,29.68618182,29.8076092,29.91337374,29.70758974,29.247248,29.54241987,30.047536,30.14807504,30.0505042,30.22266026,29.91166124,29.46358065,29.22763285
1983,6,28.93577396,28.41038363,27.79751208,27.95229376,27.91341667,29.1887069,29.05322993,28.35074856,28.57395349,28.6873021,29.04627255,29.12598023,29.18752827,28.88790576
1983,7,28.69371069,29.22666667,29.31011331,29.08923767,28.49025352,28.56462209,28.91486755,29.06371698,29.04268908,28.96205782,29.3800487,29.13251232,29.29118971,28.51681818
1983,8,26.1,25.58766871,25.62237762,26.00059649,26.27456349,26.81333333,26.4168,26.40857143,27.03558442,27.02369281,27.08462963,27.00212366,27.31605263,24.58217391
1983,9,27.72121495,27.78630769,27.98315315,28.18257862,27.03636364,28.24503311,28.14448,28.30390476,28.40238095,28.54103704,28.44604575,28.63732057,28.44854118,26.59
1983,10,28.16118534,27.99594848,28.81974537,28.70105675,27.4265,29.21104,28.98701923,29.36618971,29.155616,28.946832,29.16546474,29.10398714,29.01032,27.02010471
1983,11,28.93661826,28.98315909,29.19638202,29.57131725,28.84395161,28.892048,28.997872,29.207648,29.134368,29.188176,29.081136,28.872384,29.082128,28.01960784
1983,12,28.93548117,28.95185355,28.85066059,28.98405204,28.80420912,28.837424,28.796928,28.5668,28.6796,28.838032,28.67712,28.74288,28.749168,28.22153846
1984,1,28.33072016,28.45383747,28.68038636,29.00832075,28.85049351,28.13224,28.164768,28.162576,28.423808,28.684128,28.006496,28.44512077,28.19456169,27.88140097
1984,2,29.17045455,29.37172018,29.56938636,29.85942418,29.81224044,28.959872,29.425872,29.26472756,29.51777244,29.45629213,29.105936,29.23368509,28.90692308,28.7604878
1984,3,29.58713402,29.57263982,29.39221477,29.49707948,29.10408163,29.42192,29.466672,29.430384,29.448992,29.512928,29.573552,29.353056,29.242928,29.20699029
