"Year","Month","UPW"
1967,1,-161.474874255497
1967,2,-212.542438545536
1967,3,197.716461178837
1967,4,731.883120316036
1967,5,1279.44238958305
1967,6,730.941344258211
1967,7,745.27456284469
1967,8,1234.87001571936
1967,9,1013.34112270622
1967,10,124.476760635798
1967,11,-579.265557627701
1967,12,-407.164065424923
1968,1,-318.731718673602
1968,2,53.1788934064727
1968,3,292.918137018031
1968,4,790.476992881556
1968,5,1878.66331061222
1968,6,2261.41287647047
1968,7,2182.51974339356
1968,8,2268.05230762747
1968,9,2153.39453555007
1968,10,341.838479332216
1968,11,-227.5415072911
1968,12,-415.641877266901
1969,1,-362.291683940581
1969,2,-39.9598478296244
1969,3,687.395409507802
1969,4,968.644576061792
1969,5,1634.65917732116
1969,6,1281.58430017898
1969,7,1055.05288569131
1969,8,771.399808999705
1969,9,1000.93019023695
1969,10,145.303271707489
1969,11,-87.3846719475143
1969,12,-591.976536888278
1970,1,-294.759889777114
1970,2,-135.222095395477
1970,3,391.850903181837
1970,4,673.428309500662
1970,5,1061.77341873583
1970,6,794.217633054617
1970,7,509.37692453686
1970,8,547.487159748944
1970,9,486.202825038812
1970,10,257.775827979933
1970,11,-314.58777373083
1970,12,-713.265030069118
1971,1,-421.73105710688
1971,2,9.37049296719974
1971,3,208.258738482285
1971,4,641.22500236968
1971,5,1060.43889337692
1971,6,548.924063420924
1971,7,843.196311448266
1971,8,963.17915654149
1971,9,906.297920729652
1971,10,534.102156204952
1971,11,-272.951833219823
1971,12,-419.72782732802
1972,1,-576.171627687579
1972,2,238.816993285376
1972,3,467.682693783733
1972,4,626.531775493248
1972,5,555.766938331799
1972,6,883.246858957632
1972,7,798.938609290081
1972,8,865.446062779298
1972,9,631.24342101458
1972,10,71.3503565151998
1972,11,-54.9829318266042
1972,12,18.819054848169
1973,1,-75.9668656074229
1973,2,-44.8968572813321
1973,3,60.4781832406651
1973,4,299.048198071667
1973,5,1130.86180771196
1973,6,1180.93544066041
1973,7,1463.79526600295
1973,8,1022.41626280887
1973,9,603.250535050071
1973,10,119.209245378714
1973,11,-40.6389106985268
1973,12,-201.919588778226
1974,1,-149.736976287095
1974,2,-15.8735209651546
1974,3,117.573842187318
1974,4,445.073493669963
1974,5,539.131504673687
1974,6,1149.045289249
1974,7,923.599086501763
1974,8,1289.02500066298
1974,9,634.112149265488
1974,10,389.237047842997
1974,11,62.9055684470281
1974,12,-334.925844851075
1975,1,-140.658478178067
1975,2,14.6139181089593
1975,3,222.039279498501
1975,4,315.981301069676
1975,5,786.033038842975
1975,6,1360.87636464882
1975,7,783.780641772135
1975,8,1102.61144787609
1975,9,589.216595108704
1975,10,521.068859543582
1975,11,44.0340609397813
1975,12,-180.355822253183
1976,1,-224.408076161732
1976,2,-15.8805017324628
1976,3,307.409258135133
1976,4,735.692647129004
1976,5,1721.97948596112
1976,6,952.642855864297
1976,7,1354.41998232972
1976,8,1087.6296519186
1976,9,821.761144468371
1976,10,271.244010660358
1976,11,34.8775126907874
1976,12,-168.264066013017
1977,1,-114.648382665535
1977,2,8.50398532568205
1977,3,157.497821875014
1977,4,493.854217010461
1977,5,872.103527229331
1977,6,1254.23623499685
1977,7,1253.54653759586
1977,8,1249.37529504676
1977,9,1324.46155805563
1977,10,126.150619483138
1977,11,-469.204799469664
1977,12,-322.324070061788
1978,1,-97.3372416390851
1978,2,94.3097641478891
1978,3,520.325278226235
1978,4,1163.29141520645
1978,5,1627.65983617393
1978,6,1249.40459456285
1978,7,1560.70629590664
1978,8,2382.64790401219
1978,9,1364.26509919189
1978,10,398.771050246833
1978,11,-478.435957808224
1978,12,-279.677324133963
1979,1,-163.885616981778
1979,2,69.36034310921
1979,3,346.179593362445
1979,4,1228.13389116266
1979,5,2262.87336952573
1979,6,1997.30615431001
1979,7,2138.63685548584
1979,8,1790.13287671905
1979,9,805.06058174174
1979,10,263.703454133836
1979,11,-125.620829720491
1979,12,-168.297000163798
1980,1,-169.401496738152
1980,2,82.4562764786656
1980,3,363.55919961176
1980,4,747.316196387997
1980,5,1488.91259095502
1980,6,1174.55557382773
1980,7,1500.27770441777
1980,8,1318.784718702
1980,9,1008.44036940512
1980,10,293.53576218581
1980,11,-123.30509293383
1980,12,-154.410816231269
1981,1,-44.8068134347126
1981,2,-3.4436467739316
1981,3,43.1616790989945
1981,4,284.093302236152
1981,5,519.192756019254
1981,6,908.540204271433
1981,7,581.353331929876
1981,8,623.776869868058
1981,9,143.095697639892
1981,10,4.6824167160124
1981,11,-26.5005271636364
1981,12,-124.7584236369
1982,1,-88.4867780321752
1982,2,-33.0492459760112
1982,3,7.3586180490517
1982,4,19.5485119958943
1982,5,39.4802334521226
1982,6,105.3376106489
1982,7,103.212855439151
1982,8,345.384735546756
1982,9,495.39163033557
1982,10,70.9111581409663
1982,11,-56.2880371413464
1982,12,-133.652091194262
1983,1,-145.673359571965
1983,2,170.143290445043
1983,3,292.392880905555
1983,4,573.708120469206
1983,5,1057.73309251691
1983,6,1280.5681443036
1983,7,776.71566603674
1983,8,995.129960031066
1983,9,745.179343914444
1983,10,491.161779562074
1983,11,-18.9539294778413
1983,12,-201.041985201363
1984,1,-115.278493650429
1984,2,-72.7928302176
1984,3,80.2878335741661
1984,4,602.77011754908
1984,5,1473.92343736556
1984,6,1483.9652044184
1984,7,1194.37544597108
1984,8,1241.11137662915
1984,9,827.42689250763
1984,10,348.75664634153
1984,11,-49.6644221857115
1984,12,-48.9302603223841
1985,1,-136.883061699472
1985,2,86.8510968036509
1985,3,261.878039752863
1985,4,836.196766276493
1985,5,1382.26759868177
1985,6,1877.56754252474
1985,7,1164.15396694805
1985,8,1325.94133616373
1985,9,857.652128027905
1985,10,325.873714752203
1985,11,2.32657139369508
1985,12,-144.377580629237
1986,1,-135.160899635621
1986,2,65.3172568460945
1986,3,215.931357896799
1986,4,482.809534148294
1986,5,1775.16634503873
1986,6,1212.25493397799
1986,7,1712.19377477924
1986,8,1433.16111929754
1986,9,1105.43256330163
1986,10,330.015558479601
1986,11,-7.31935507331155
1986,12,-149.758776982945
1987,1,-161.2010624465
1987,2,-3.71876084111163
1987,3,280.170980836234
1987,4,770.475452902037
1987,5,627.224629051417
1987,6,1137.41284910075
1987,7,1309.20184896082
1987,8,1074.40198572097
1987,9,780.968243887285
1987,10,72.5825904285516
1987,11,37.7992955196705
1987,12,-187.206720766473
1988,1,-186.174881771474
