"Year","Month","Dates","UPW.1","UPW.2","UPW.3","UPW.4","UPW.5","UPW.6","UPW.7","UPW.8","UPW.9","UPW.10","UPW.11","UPW.12","UPW.13","UPW.14"
"2009","10",2009-10-16 12:00:00,NA,NA,NA,1.21825499718398e-05,NA,5.85648185828328e-07,3.03059431307527e-06,2.59757245165323e-07,5.64110354730474e-06,-1.74119783954059e-06,-6.28660853010388e-07,-1.08735695420137e-06,-2.20228089927351e-06,-1.14862614438983e-07
"2009","11",2009-11-16 00:00:00,NA,NA,NA,2.99515517572975e-07,NA,3.02423598744402e-06,4.92738860421363e-06,1.15887737592857e-06,2.7458301445904e-06,-3.08013356213147e-07,-1.80893282959005e-06,-2.32491722840678e-06,-1.33074924428082e-06,4.13539879948457e-06
"2009","12",2009-12-16 12:00:00,NA,NA,NA,-1.48630459383033e-05,NA,6.01864804063249e-06,3.10715417456847e-06,-2.55788384132908e-06,8.70658190876838e-08,-1.57239221304432e-05,3.2689157222876e-06,-6.92236748790265e-06,-1.73176264439689e-06,3.26061867859796e-06
"2010","01",2010-01-16 12:00:00,NA,NA,NA,-3.72771499238903e-06,NA,4.26018369997413e-06,1.65310090184133e-06,-2.12972647659626e-06,7.96183682290064e-06,-8.35074998093432e-06,4.93226761591359e-06,-1.81872810372852e-06,4.14464026713783e-06,5.31701053613029e-06
"2010","02",2010-02-15 00:00:00,NA,NA,NA,-2.20422083836119e-06,NA,-2.20781670545733e-06,6.27090760948098e-08,-1.96498628473781e-06,-6.21296424678045e-08,-9.71136395833128e-07,-5.63566069189392e-07,4.69946594222392e-06,3.45964512860064e-06,1.13322403292622e-07
"2010","03",2010-03-16 12:00:00,NA,NA,NA,2.29776153067481e-06,NA,-1.63828481352842e-06,-1.70223360603709e-07,-4.90761302292716e-07,5.10326714220355e-09,4.69620924074358e-08,-2.26647576482719e-06,6.72412370477105e-07,-9.73010453246085e-07,1.35205306493986e-06
"2010","04",2010-04-16 00:00:00,NA,NA,NA,-2.07789980777306e-06,NA,-2.12666292706369e-06,1.11476615179876e-06,9.88705206358039e-07,5.10439619461067e-09,-3.41691524852195e-07,-2.32813799811993e-07,2.42135754433548e-07,-1.27162790519719e-07,4.10079418514407e-07
"2010","05",2010-05-16 12:00:00,NA,NA,NA,6.03934802256845e-06,NA,-1.2067817086366e-07,1.74227461859398e-07,1.64989620164609e-06,2.94246051737446e-06,6.69180867589603e-06,1.41865661589691e-06,3.04395636248955e-06,1.18025980100356e-06,1.64619606835004e-07
"2010","06",2010-06-16 00:00:00,NA,NA,NA,-1.8100700837446e-06,NA,1.07422114687949e-06,2.67097612786179e-06,1.63147798654488e-06,-3.46667839892234e-06,1.62356236614869e-06,-2.8794692025258e-06,5.73467835849328e-07,-2.76371769440213e-06,8.15008560991749e-07
"2010","07",2010-07-16 12:00:00,NA,NA,NA,9.37851761288281e-06,NA,1.19398853257735e-06,-9.61655307317135e-07,4.46042910671925e-06,3.64982862848251e-06,7.50307400494421e-06,-8.76531740914288e-07,-2.03558342718679e-06,-1.73547593407264e-06,-2.85086718933818e-06
"2010","08",2010-08-16 12:00:00,NA,NA,NA,2.67300909205422e-05,NA,1.07964641908135e-06,8.81761642491396e-06,6.51556154593891e-06,1.03281013164882e-05,1.42232073007638e-05,3.86017617003631e-06,6.92250331098876e-06,4.05014434553171e-06,6.95329594380977e-07
"2010","09",2010-09-16 00:00:00,0,0,0,1.19877560791792e-06,0,-2.37222846521945e-08,6.25141170189636e-07,6.89056807345878e-07,3.65487950602983e-06,1.7141351651162e-06,2.3499753467604e-06,4.30644763696364e-06,4.40500407876243e-06,-1.76796744366067e-07
"2010","10",2010-10-16 12:00:00,NA,NA,NA,7.59939125790273e-06,NA,5.52597286211191e-06,6.68442785704079e-06,4.25835175974498e-06,2.79590180696232e-06,5.54543881510957e-06,2.88452515405879e-06,2.72511545084342e-06,4.47813711446088e-06,4.01461716137419e-06
"2010","11",2010-11-16 00:00:00,NA,NA,NA,5.41793874238768e-06,NA,9.65773286528323e-07,3.13978236258313e-06,1.64242746715596e-06,1.28810053290351e-06,2.45571342058308e-06,6.58711180960836e-07,4.39295350361135e-06,4.77292537937046e-06,3.63610730311428e-07
"2010","12",2010-12-16 12:00:00,NA,NA,NA,6.61438149525869e-06,NA,2.42857300728853e-06,6.5205365838385e-07,-5.54111970056207e-07,3.92332744780788e-06,-4.14775034585091e-07,-3.27113921230193e-07,5.7203046432619e-06,1.69109184867011e-06,2.81626865636589e-06
"2011","01",2011-01-16 12:00:00,NA,NA,NA,-2.7963422060869e-06,NA,3.94092294773903e-06,2.93219590420134e-06,-6.67299684664613e-06,2.44787431427085e-06,-2.12684595339852e-06,5.90033213939023e-06,2.96968994462077e-07,4.00308982875686e-06,7.83083113184637e-06
"2011","02",2011-02-15 00:00:00,NA,NA,NA,-9.24542675306839e-07,NA,-1.5494503638062e-06,-2.00181988073102e-06,-1.37369526100883e-06,-2.79583478146606e-07,-2.01297132965313e-06,2.53591770956518e-06,-1.76327439792345e-06,-3.70450034985481e-07,3.01127091863516e-06
"2011","03",2011-03-16 12:00:00,NA,NA,NA,1.36752055176122e-06,NA,1.4953137442338e-06,7.92915918574571e-07,-3.03846359073212e-07,-1.79379750915309e-06,-1.1171757895075e-07,-9.32967466837908e-09,1.09314321605325e-06,1.55026610911454e-06,3.84846451048851e-07
"2011","04",2011-04-16 00:00:00,NA,NA,NA,3.79442070652658e-06,NA,3.85490045099838e-07,1.03344158967152e-06,1.51484584118104e-06,2.16328107782715e-06,3.99300038225192e-06,4.02226237348202e-07,1.51570993750738e-06,1.12561489492199e-06,7.53691327507308e-07
"2011","05",2011-05-16 12:00:00,NA,NA,NA,-2.35125564055731e-07,NA,-2.39749586701995e-07,6.45111579335487e-07,-4.89523912960976e-07,8.91062377661456e-07,-1.69838184168232e-07,1.13068937622529e-06,2.33521737072806e-06,3.30046901867812e-06,6.0623034742618e-07
"2011","06",2011-06-16 00:00:00,NA,NA,NA,-4.20714140621688e-06,NA,-3.18733518689385e-07,2.05674100660265e-06,-2.20301145645863e-06,-9.44786198431302e-07,-3.0092791282262e-06,-3.19288947792984e-06,-2.11806751082122e-06,-3.77810452647509e-06,-1.0777735639067e-06
