"Year","Month","Dates","UPW.1","UPW.2","UPW.3","UPW.4","UPW.5","UPW.6","UPW.7","UPW.8","UPW.9","UPW.10","UPW.11","UPW.12","UPW.13","UPW.14"
"1999","08",1999-08-16 12:00:00,7.6294892804841e-06,2.83043175236823e-06,6.21402776023284e-06,5.55333605708104e-06,9.05455033995578e-06,1.083796952891e-06,3.60167102805328e-06,3.1368113595498e-06,2.72280443687404e-06,6.14572360019341e-06,-2.6844693024572e-06,-2.76170242717331e-06,-4.08969977385709e-06,1.8239784842965e-06
"1999","09",1999-09-16 00:00:00,9.56175174502359e-07,3.35985911487708e-06,2.14886145962483e-06,6.20005626731344e-06,1.54574764755741e-05,1.69356596947102e-06,3.14473750769914e-06,1.17721765603141e-06,1.90160308034523e-06,6.8216335547433e-06,-7.06480706386342e-07,4.54314732292566e-07,-1.20348660099855e-06,6.62342063802911e-07
"1999","10",1999-10-16 12:00:00,9.7644609316679e-07,-5.0122103658623e-06,1.47559000115401e-06,2.03097649690657e-06,3.98675118162828e-06,2.60859480636942e-06,3.42100004677742e-06,5.82844353543188e-06,8.12424907774775e-06,6.29234566910479e-06,6.67805407366424e-06,9.52522728311682e-06,8.13370895811103e-06,8.52469486418917e-08
"1999","11",1999-11-16 00:00:00,4.10244706217374e-07,1.99877868646404e-06,-2.0891280137726e-06,-4.21176604703533e-09,-3.69545522097093e-07,9.3043631401422e-07,-7.85797461404585e-07,1.26686282183501e-06,5.01135012982078e-07,9.5344503680957e-07,3.47269837694145e-07,1.87784784172405e-06,9.22368599010071e-07,1.08598049005837e-06
"1999","12",1999-12-16 12:00:00,-3.63214617640274e-07,-4.18622870281943e-06,3.34432306077461e-06,-1.33719803056282e-06,-2.62167917952638e-06,8.67168068074278e-07,-9.77556534968401e-07,-1.17701805657237e-06,3.02705323874102e-06,9.7727966190346e-07,2.5925474843519e-06,1.97071888039688e-06,4.70514699379976e-07,1.02651741902103e-06
"2000","01",2000-01-16 12:00:00,4.40658854650167e-07,7.28485605567326e-07,2.15497245102766e-07,-6.62941374092914e-07,3.97343755856406e-06,2.86412317941477e-06,2.45365337967923e-07,-4.12647460947385e-06,4.28344402024374e-06,-3.70148621578162e-06,2.14761967821563e-06,-1.98540281060582e-07,1.01040833606625e-06,2.13621733881857e-06
"2000","02",2000-02-15 12:00:00,-2.077341840881e-07,-1.20461239570711e-06,-5.05381842256262e-07,8.56520843584008e-07,-3.16767017765994e-06,-4.87740012833223e-07,-6.29014277350497e-07,-1.86077083679456e-06,-2.35504545745657e-06,-4.73997999917424e-07,-4.08709035654225e-07,-9.15522010181132e-07,2.77310106993056e-06,-1.25068486780823e-07
"2000","03",2000-03-16 12:00:00,2.10324834408008e-06,-4.18209086916477e-07,-8.46589804770998e-08,-9.22966191673859e-07,-3.20926998788016e-06,-5.99176033014258e-07,7.08472216728153e-07,2.04509474195972e-06,5.02599247049406e-08,-1.80688941199667e-06,-1.28154500852621e-07,1.29856175327084e-07,-2.2665261267818e-07,1.43848598363329e-06
"2000","04",2000-04-16 00:00:00,1.24527869104714e-06,3.29397785903714e-06,3.7981704388492e-06,4.27610666590509e-06,4.00522647088374e-06,1.62822032943894e-06,1.21671288674967e-06,8.90056250394907e-07,-2.57587305493753e-07,2.98737524418851e-06,2.93692483389139e-06,2.08222889904234e-06,2.13901442719291e-06,7.16559864329048e-07
"2000","05",2000-05-16 12:00:00,-1.38444387252079e-06,-2.73504507893114e-06,-9.01743435280069e-07,3.33691290244076e-06,1.12235636634539e-05,-4.25750218728761e-08,-4.75439580380107e-08,8.81363129222752e-07,1.29992425010773e-06,5.11213238496566e-06,3.06341414988334e-06,3.25708413830948e-06,1.9394873442713e-06,-1.25879187090721e-07
"2000","06",2000-06-16 00:00:00,1.83322186124713e-05,1.15998019171801e-05,5.18100333439393e-06,8.52005294168142e-06,1.92001389649477e-05,-4.35828464215202e-07,6.24828193855294e-06,5.48383341637935e-06,4.89782469821946e-06,1.85317742405482e-05,-2.32012583713735e-07,6.63845684424881e-06,3.12664863102441e-06,3.57848431711682e-06
"2000","07",2000-07-16 12:00:00,9.32049608501564e-07,7.40822060802455e-06,8.00675239944863e-06,6.41783171850818e-06,2.05666636788928e-05,1.71072912912172e-06,2.7527795958874e-06,4.23185500995647e-06,1.37718393752359e-06,1.00828380524393e-05,-1.28014513017156e-06,-1.0759373176877e-06,-3.8037799982682e-06,1.35632900421015e-06
"2000","08",2000-08-16 12:00:00,4.37456489157156e-06,6.27517462229813e-06,3.28035924255645e-06,1.03016835361625e-05,3.95023792062573e-06,8.24883516137572e-06,7.93503419499533e-06,4.62772209162297e-06,5.62145066325044e-06,1.12923594280273e-05,-1.23850677426261e-06,5.58290893732444e-06,-3.32570520986702e-06,2.27882740912105e-06
"2000","09",2000-09-16 00:00:00,5.77330734312198e-06,2.86623816631643e-06,2.58145265667979e-06,7.25796347393152e-06,3.00529298719939e-06,2.96315938896896e-06,4.16431109732614e-06,2.04176318549692e-06,4.45070216414933e-06,5.41814120180317e-06,3.61902376635701e-06,3.38218481146071e-06,2.38211558585277e-06,3.78811616178986e-06
"2000","10",2000-10-16 12:00:00,-4.91418122604815e-07,-1.78088042034867e-06,8.22089740766656e-07,1.62163648013506e-06,3.27478526696012e-06,2.01777475483118e-06,1.26264450237995e-06,2.60854793484767e-06,1.89971606906275e-06,1.99095177366167e-06,1.54708783328827e-06,2.36761409832264e-06,3.94635113387665e-06,3.45737437304221e-07
