Site,Year,Q1,Q2,Q3,Q4,YrTot,,Oil Sardine landings in metric tons; Data from the CMFRI stratified sampling protecol started in 1956,,,
Kerala,1956,799,NA,180,4086,NA,,,,,
Kerala,1957,13284,3012,18157,141398,175851,,1956-1968,Antony Raja 1969  The indian oil sardine,,
Kerala,1958,71207,12089,8047,27628,118971,,,Table 13a,,
Kerala,1959,33615,5657,5233,17531,62036,,,metric tonnes,,
Kerala,1960,8068,1528,28802,147821,186219,,,many '-' in table.  I assume they are zeros since annual sum in table uses 0,,
Kerala,1961,66009,17968,10496,71532,166005,,,Mysore state renamed Karnataka after 1956,,
Kerala,1962,35070,5583,4858,45692,91203,,,alt reference is CMFRI 1968 Bulletin; tables withing,,
Kerala,1963,26844,6750,3560,21796,58950,,,,,
Kerala,1964,20923,1008,33604,134866,190401,,1968-1978,Pillai 1982 Table 21 Oil sardine landings in metric tonnes. Data from CMFRI,,
Kerala,1965,92424,20626,33225,72895,219170,,,,,
Kerala,1966,37457,14353,57688,93302,202800,,1975-1984,Kerala data from,,
Kerala,1967,70960,11664,27843,124943,235410,,,Jacob et al 1987. An Appraisal of the Marine Fisheries of Kerala,,
Kerala,1968,47319,4213,57895,137621,247048,,,Table 1 & 2 in Appendix,,
Kerala,1969,34655,5374,14988,84966,139983,,,,,
Kerala,1970,30986,27244,46981,86472,191683,,,Karnataka data from,,
Kerala,1971,86150,7317,19378,82152,194997,,,Kurup et al 1987. An Appraisal of the Marine Fishereis of Karnataka and Goa,,
Kerala,1972,40907,21566,11710,30243,104426,,,Table 1 & 2 in Appendix,,
Kerala,1973,27884,20701,18963,55285,122833,,,"Note Table 3 & 4 has Goa, but those are missing in the pdf posted online.",,
Kerala,1974,18594,20623,15269,47649,102135,,,,,
Kerala,1975,41684,15932,12409,27158,97183,,1985-1993,CMFRI 1995 Bulletin,,Table 18
Kerala,1976,29078,19749,9173,65937,123937,,,,,
Kerala,1977,22033,20620,17084,57519,117256,,1993-2004,CMFRI,,
Kerala,1978,19873,7633,16836,75595,119937,,,,,
Kerala,1979,27340,10665,25578,53251,116834,,2003-2004,CMFRI Bulletin 2005,,
Kerala,1980,23766,14401,5952,25548,69667,,,,,
Kerala,1981,19768,9225,29520,88473,146986,,2005-2015,CMFRI (file originally from INCOIS),,
Kerala,1982,45012,18998,28629,50576,143215,,,,,
Kerala,1983,61285,20977,6463,66154,154879,,2016-2018,Only year from CMFRI website,,
