"Year","Month","ONI","SOI","DMI"
1949,1,NA,-1.7,0.209
1949,2,NA,-0.3,0.356
1949,3,NA,-1,0.051
1949,4,NA,-1,0.362
1949,5,NA,-1.1,0.128
1949,6,NA,-0.9,0.203
1949,7,NA,-0.6,0.297
1949,8,NA,-0.6,0.308
1949,9,NA,-0.1,0.291
1949,10,NA,0,0.249
1949,11,NA,0.2,-0.12
1949,12,NA,0.2,-0.097
1950,1,-1.53,0.9,0.144
1950,2,-1.34,1.4,-0.363
1950,3,-1.16,0.8,-0.521
1950,4,-1.18,-0.2,-0.273
1950,5,-1.07,-0.4,-0.092
1950,6,-0.85,-0.1,-0.287
1950,7,-0.54,-0.1,-0.037
1950,8,-0.42,-0.2,0.078
1950,9,-0.39,0.1,-0.243
1950,10,-0.44,-0.3,-0.21
1950,11,-0.6,0.3,0.047
1950,12,-0.8,-0.5,0.202
1951,1,-0.82,0.1,0.446
1951,2,-0.54,0.3,0.398
1951,3,-0.17,-1.2,0.423
1951,4,0.18,-1,-0.309
1951,5,0.36,-1.3,0.073
1951,6,0.58,-1.5,0.027
1951,7,0.7,-1.7,0.093
1951,8,0.89,-1.1,0.417
1951,9,0.99,-1.1,0.376
1951,10,1.15,-1.6,0.203
1951,11,1.04,-1.8,0.382
1951,12,0.81,-1.3,0.153
1952,1,0.53,-1.4,0.116
1952,2,0.37,-0.7,0.262
1952,3,0.34,-0.5,0.287
1952,4,0.29,-1.1,0.268
1952,5,0.2,-1,0.069
1952,6,0,-0.6,0.226
1952,7,-0.08,-0.3,-0.114
1952,8,0,-0.2,-0.159
1952,9,0.15,-0.7,-0.214
1952,10,0.1,-0.9,-0.164
1952,11,0.04,-0.7,0.103
1952,12,0.15,-1,0.205
1953,1,0.4,-0.2,0.491
1953,2,0.6,-1.4,0.463
1953,3,0.63,-1,0.35
1953,4,0.66,-0.7,0.145
1953,5,0.75,-1.7,0.528
1953,6,0.77,-1,0.089
1953,7,0.75,-1,0.128
1953,8,0.73,-0.8,0.063
1953,9,0.78,-1.1,0.144
1953,10,0.84,-0.8,0.066
1953,11,0.84,-1.3,0.127
1953,12,0.81,-1.1,0.11
1954,1,0.76,0.2,-0.158
1954,2,0.47,0.2,-0.089
1954,3,-0.05,-0.2,0.01
1954,4,-0.41,0.2,0.181
1954,5,-0.54,0,-0.333
1954,6,-0.5,0.1,-0.297
1954,7,-0.64,0.2,-0.535
1954,8,-0.84,0.8,-0.327
1954,9,-0.9,0.4,-0.331
1954,10,-0.77,0.1,-0.454
1954,11,-0.73,0.3,-0.178
1954,12,-0.66,0.6,0.175
1955,1,-0.68,-0.2,0.133
1955,2,-0.62,0.6,0.036
1955,3,-0.69,-0.5,0.188
1955,4,-0.8,0,0.159
1955,5,-0.79,0.6,-0.47
1955,6,-0.72,0.5,-0.173
1955,7,-0.68,0.3,-0.126
1955,8,-0.75,0.7,-0.126
1955,9,-1.09,1,-0.349
1955,10,-1.42,1.1,-0.344
1955,11,-1.67,1.1,0.003
1955,12,-1.47,0.9,-0.064
1956,1,-1.11,0.8,0.088
1956,2,-0.76,0.4,0.165
1956,3,-0.63,-0.3,0.171
1956,4,-0.54,0.4,-0.097
1956,5,-0.52,0.1,-0.348
1956,6,-0.51,0.1,-0.606
1956,7,-0.57,0.7,-0.763
1956,8,-0.55,0.9,-0.466
1956,9,-0.46,0.7,-0.407
1956,10,-0.42,0.2,-0.286
1956,11,-0.43,0.1,-0.24
1956,12,-0.43,0.1,0.082
1957,1,-0.25,0.3,-0.25
1957,2,0.06,-1.1,-0.374
1957,3,0.41,-0.5,-0.028
1957,4,0.72,-1.1,-0.101
1957,5,0.92,-0.8,-0.108
1957,6,1.11,-1,-0.252
1957,7,1.25,-0.5,-0.172
1957,8,1.32,-0.9,0.041
1957,9,1.33,-0.8,0.005
1957,10,1.39,-0.6,-0.146
1957,11,1.53,-2,-0.218
1957,12,1.74,-0.9,-0.026
1958,1,1.81,-1.6,-0.218
1958,2,1.66,-1.1,-0.057
1958,3,1.27,-1.2,-0.207
1958,4,0.93,-0.2,-0.145
1958,5,0.74,-0.6,-0.277
1958,6,0.64,-0.2,-0.639
1958,7,0.57,0,-0.749
1958,8,0.43,0.3,-0.959
1958,9,0.39,0.1,-0.911
1958,10,0.44,-0.1,-0.584
1958,11,0.5,-0.4,-0.402
1958,12,0.61,-0.6,-0.406
1959,1,0.61,-0.8,0.159
1959,2,0.62,-0.8,-0.346
1959,3,0.52,0,-0.351
1959,4,0.33,-0.8,-0.159
1959,5,0.2,0,-0.518
1959,6,-0.07,-0.2,-0.534
