"Year","Month","tide.level.mm","tide.level.interp","anomalies","anomalies13","anomaliesb","anomalies13b"
1939,1,704,704,39.301063864206,NA,48.9660286785825,NA
1939,2,652,652,2.49036809596748,NA,12.1553329102862,NA
1939,3,674,674,45.4306311092064,NA,55.0955959235221,NA
1939,4,631,631,35.6636845817022,NA,45.3286493960184,NA
1939,5,555,555,20.169876639865,NA,29.8348414541799,NA
1939,6,646,646,93.3491756926303,NA,103.01414050695,NA
1939,7,631,631,94.8372027474162,44.7861463448808,104.502167561732,54.6287060397995
1939,8,549,549,34.8097836698081,33.8958643620098,44.4747484841266,43.9160189375216
1939,9,558,558,50.9293534285352,21.7556561315599,60.59431824285,31.9534055876692
1939,10,649,649,71.3364546738626,15.0225856287453,81.001419488175,25.3979299654522
1939,11,683,683,23.2421787438486,12.2336027094433,32.9071435581645,22.7865419267479
1939,12,805,805,121.122035381223,10.7271664820342,130.78700019554,21.4577005799366
1940,1,616,616,-50.46190614482,2.93678625478024,-38.4882078827343,13.8449152332801
1940,2,549,549,-102.272601913117,-1.81632059804228,-90.2989036510305,9.26940326105528
1940,3,475,475,-155.332338899881,-8.48119754037773,-143.358640637795,2.78212119931732
1940,4,555,555,-42.0992854273843,-14.5085720606672,-30.1255871652986,-3.06765844037439
1940,5,536,536,-0.59309336922297,-19.8052832867519,11.3806048928629,-8.1867747858611
1940,6,555,555,0.58620568354695,-23.7193689307298,12.5599039456333,-11.9232655492412
1940,7,530,530,-7.92576726167158,-37.5152852026629,4.04793100041502,-25.3714489203172
1940,8,549,549,33.0468136607235,-37.4055671855386,45.0205119228097,-25.0915928829333
1940,9,457,457,-51.8336165805528,-37.3919292621425,-39.8599183184669,-24.9078169392777
1940,10,552,552,-27.4265153352285,-31.4326920726494,-15.4528170731421,-18.7784417295251
1940,11,664,664,2.47920873476153,-29.2985980688744,14.4529069968478,-16.4742097054907
1940,12,658,658,-27.6409346278641,-28.8819573732065,-15.6672363657772,-15.8874309895632
