"year","month","tide.level.mm"
2011,1,NA
2011,2,NA
2011,3,NA
2011,4,NA
2011,5,NA
2011,6,NA
2011,7,648
2011,8,693
2011,9,676
2011,10,722
2011,11,809
2011,12,838
2012,1,789
2012,2,723
2012,3,628
2012,4,703
2012,5,518
2012,6,571
2012,7,579
2012,8,552
2012,9,603
2012,10,642
2012,11,675
2012,12,712
2013,1,705
2013,2,755
2013,3,747
2013,4,608
2013,5,590
2013,6,673
2013,7,654
2013,8,536
2013,9,596
2013,10,613
2013,11,762
2013,12,719
2014,1,718
2014,2,738
2014,3,753
2014,4,644
2014,5,638
2014,6,598
2014,7,595
2014,8,693
2014,9,640
2014,10,799
2014,11,860
2014,12,834
2015,1,890
2015,2,875
2015,3,840
2015,4,850
2015,5,769
2015,6,756
2015,7,658
2015,8,669
2015,9,737
2015,10,839
2015,11,821
2015,12,828
2016,1,846
2016,2,828
2016,3,836
2016,4,810
2016,5,765
2016,6,789
2016,7,761
2016,8,644
2016,9,617
2016,10,673
2016,11,809
2016,12,822
2017,1,NA
2017,2,799
2017,3,799
2017,4,672
2017,5,666
2017,6,692
2017,7,628
2017,8,656
2017,9,732
2017,10,758
2017,11,851
2017,12,816
2018,1,836
2018,2,796
2018,3,821
2018,4,941
2018,5,923
2018,6,887
2018,7,893
2018,8,793
2018,9,612
2018,10,NA
2018,11,NA
2018,12,NA
