"year","month","tide.level.mm"
1939,1,6962
1939,2,6910
1939,3,6932
1939,4,6889
1939,5,6813
1939,6,6904
1939,7,6889
1939,8,6807
1939,9,6816
1939,10,6907
1939,11,6941
1939,12,7063
1940,1,6874
1940,2,6807
1940,3,6733
1940,4,6813
1940,5,6794
1940,6,6813
1940,7,6788
1940,8,6807
1940,9,6715
1940,10,6810
1940,11,6922
1940,12,6916
1941,1,6868
1941,2,6862
1941,3,6788
1941,4,6779
1941,5,6782
1941,6,6819
1941,7,6782
1941,8,6788
1941,9,6770
1941,10,6797
1941,11,6886
1941,12,6868
1942,1,6877
1942,2,6862
1942,3,6898
1942,4,6770
1942,5,6733
1942,6,6764
1942,7,6840
1942,8,6730
1942,9,6715
1942,10,6804
1942,11,6889
1942,12,6935
1943,1,6953
1943,2,6910
1943,3,6831
1943,4,6801
1943,5,6825
1943,6,6825
1943,7,6807
1943,8,6730
1943,9,6724
1943,10,6813
1943,11,6892
1943,12,6977
1944,1,6910
1944,2,6858
1944,3,6874
1944,4,6828
1944,5,6749
1944,6,6776
1944,7,6779
1944,8,6746
1944,9,6758
1944,10,6810
1944,11,6874
1944,12,6883
1945,1,6886
1945,2,6849
1945,3,6843
1945,4,6788
1945,5,6733
1945,6,6758
1945,7,6770
1945,8,6776
1945,9,6721
1945,10,6782
1945,11,6947
1945,12,6922
1946,1,6874
1946,2,6886
1946,3,6846
1946,4,6855
1946,5,NA
1946,6,6819
1946,7,6843
1946,8,6794
1946,9,6764
1946,10,6813
1946,11,6886
1946,12,6898
1947,1,6904
1947,2,6932
1947,3,6858
1947,4,6813
1947,5,6794
1947,6,6785
1947,7,6819
1947,8,6910
1947,9,6788
1947,10,6813
1947,11,6974
1947,12,6971
1948,1,6959
1948,2,6916
1948,3,6941
1948,4,6898
1948,5,6767
1948,6,6880
1948,7,6810
1948,8,6825
1948,9,6788
1948,10,6904
1948,11,6929
1948,12,6935
1949,1,6950
1949,2,6941
1949,3,6926
1949,4,6858
1949,5,6849
1949,6,6892
1949,7,6898
1949,8,6816
1949,9,6813
1949,10,6788
1949,11,6941
1949,12,6980
1950,1,6950
1950,2,6892
1950,3,6929
1950,4,6877
1950,5,6755
1950,6,6852
1950,7,6807
1950,8,6831
1950,9,6794
1950,10,6880
1950,11,6950
1950,12,7066
1951,1,7002
1951,2,6922
1951,3,6953
1951,4,6892
1951,5,6849
1951,6,6828
1951,7,6819
1951,8,6718
1951,9,6813
1951,10,6871
1951,11,6947
1951,12,6922
1952,1,6889
1952,2,6941
1952,3,6892
1952,4,6874
1952,5,6746
1952,6,6813
1952,7,6758
1952,8,6797
1952,9,6770
1952,10,6825
1952,11,6947
1952,12,7035
1953,1,6996
1953,2,6929
1953,3,6886
1953,4,6837
1953,5,6733
1953,6,6801
1953,7,6895
1953,8,6822
1953,9,6752
1953,10,6877
1953,11,6929
1953,12,6983
1954,1,6947
1954,2,6965
1954,3,6953
1954,4,6855
1954,5,6828
1954,6,6855
1954,7,6868
1954,8,6855
1954,9,6791
1954,10,6935
1954,11,6965
1954,12,7020
1955,1,7032
1955,2,7023
1955,3,6941
1955,4,6898
1955,5,6862
1955,6,6892
1955,7,6819
1955,8,6767
1955,9,6886
1955,10,6892
1955,11,6871
1955,12,7060
1956,1,6986
1956,2,6964
1956,3,6960
1956,4,6889
1956,5,NA
1956,6,6825
1956,7,6798
1956,8,NA
1956,9,6758
1956,10,6874
1956,11,6922
1956,12,6935
1957,1,NA
1957,2,NA
1957,3,NA
1957,4,NA
1957,5,NA
1957,6,NA
1957,7,NA
1957,8,NA
1957,9,NA
1957,10,NA
1957,11,NA
1957,12,NA
1958,1,6941
1958,2,6926
1958,3,6916
1958,4,6916
1958,5,6891
1958,6,6910
1958,7,6878
1958,8,6859
1958,9,6821
1958,10,6791
1958,11,6949
1958,12,7083
1959,1,7042
1959,2,6999
1959,3,6976
1959,4,6939
1959,5,6987
1959,6,6959
1959,7,7021
1959,8,6856
1959,9,6865
1959,10,6908
1959,11,7019
1959,12,7028
1960,1,7008
1960,2,7017
1960,3,7010
1960,4,7003
1960,5,6957
1960,6,6924
1960,7,6917
1960,8,6859
1960,9,6844
1960,10,6886
1960,11,7021
1960,12,7042
1961,1,6993
1961,2,6978
1961,3,6945
1961,4,6950
1961,5,6893
1961,6,NA
1961,7,NA
1961,8,NA
1961,9,NA
1961,10,6911
1961,11,7017
1961,12,6933
1962,1,6902
1962,2,6962
1962,3,6936
1962,4,6972
1962,5,6903
1962,6,6847
1962,7,6972
1962,8,6890
1962,9,6880
1962,10,6960
1962,11,7015
1962,12,7091
1963,1,7053
1963,2,7074
1963,3,7015
1963,4,7000
1963,5,6948
1963,6,6839
1963,7,6874
1963,8,6890
1963,9,6808
1963,10,6897
1963,11,7089
1963,12,6969
1964,1,6989
1964,2,7042
1964,3,7035
1964,4,7016
1964,5,6856
1964,6,6843
1964,7,6879
1964,8,6919
1964,9,6859
1964,10,NA
1964,11,NA
1964,12,6983
1965,1,6975
1965,2,6986
1965,3,6924
1965,4,6915
1965,5,6876
1965,6,NA
1965,7,NA
1965,8,6846
1965,9,6780
1965,10,6925
1965,11,6977
1965,12,6977
1966,1,7011
1966,2,6949
1966,3,6958
1966,4,6931
1966,5,6786
1966,6,NA
1966,7,6907
1966,8,6845
1966,9,6907
1966,10,7048
1966,11,7016
1966,12,7102
1967,1,7045
1967,2,6984
1967,3,6930
1967,4,6907
1967,5,6849
1967,6,6900
1967,7,6818
1967,8,6806
1967,9,6780
1967,10,6883
1967,11,6928
1967,12,6873
1968,1,6951
1968,2,6947
1968,3,6989
1968,4,6915
1968,5,6798
1968,6,6808
1968,7,6895
1968,8,6786
1968,9,6761
1968,10,6871
1968,11,6968
1968,12,6981
1969,1,6961
1969,2,6893
1969,3,6945
1969,4,6917
1969,5,6866
1969,6,6791
1969,7,6865
1969,8,6867
1969,9,6799
1969,10,6894
1969,11,6933
1969,12,6876
1970,1,7008
1970,2,7036
1970,3,6967
1970,4,6895
1970,5,6888
1970,6,6917
1970,7,6880
1970,8,6879
1970,9,6836
1970,10,6899
1970,11,6931
1970,12,6986
1971,1,7018
1971,2,7013
1971,3,6992
1971,4,6951
1971,5,6831
1971,6,6935
1971,7,6852
1971,8,6849
1971,9,6865
1971,10,6893
1971,11,6967
1971,12,6996
1972,1,7011
1972,2,6988
1972,3,6940
1972,4,6921
1972,5,NA
1972,6,6827
1972,7,6849
1972,8,6787
1972,9,6811
1972,10,6925
1972,11,6972
1972,12,6906
1973,1,6869
1973,2,6978
1973,3,6919
1973,4,6956
1973,5,6841
1973,6,6894
1973,7,6851
1973,8,6816
1973,9,6837
1973,10,6925
1973,11,7011
1973,12,7064
1974,1,7053
1974,2,7034
1974,3,7007
1974,4,6962
1974,5,6844
1974,6,6798
1974,7,6911
1974,8,6857
1974,9,6828
1974,10,6815
1974,11,6950
1974,12,7074
1975,1,6973
1975,2,6965
1975,3,6928
1975,4,6898
