"year","month","tide.level.mm"
1939,1,704
1939,2,652
1939,3,674
1939,4,631
1939,5,555
1939,6,646
1939,7,631
1939,8,549
1939,9,558
1939,10,649
1939,11,683
1939,12,805
1940,1,616
1940,2,549
1940,3,475
1940,4,555
1940,5,536
1940,6,555
1940,7,530
1940,8,549
1940,9,457
1940,10,552
1940,11,664
1940,12,658
1941,1,610
1941,2,604
1941,3,530
1941,4,521
1941,5,524
1941,6,561
1941,7,524
1941,8,530
1941,9,512
1941,10,539
1941,11,628
1941,12,610
1942,1,619
1942,2,604
1942,3,640
1942,4,512
1942,5,475
1942,6,506
1942,7,582
1942,8,472
1942,9,457
1942,10,546
1942,11,631
1942,12,677
1943,1,695
1943,2,652
1943,3,573
1943,4,543
1943,5,567
1943,6,567
1943,7,549
1943,8,472
1943,9,466
1943,10,555
1943,11,634
1943,12,719
1944,1,652
1944,2,600
1944,3,616
1944,4,570
1944,5,491
1944,6,518
1944,7,521
1944,8,488
1944,9,500
1944,10,552
1944,11,616
1944,12,625
1945,1,628
1945,2,591
1945,3,585
1945,4,530
1945,5,475
1945,6,500
1945,7,512
1945,8,518
1945,9,463
1945,10,524
1945,11,689
1945,12,664
1946,1,616
1946,2,628
1946,3,588
1946,4,597
1946,5,NA
1946,6,561
1946,7,585
1946,8,536
1946,9,506
1946,10,555
1946,11,628
1946,12,640
1947,1,646
1947,2,674
1947,3,600
1947,4,555
1947,5,536
1947,6,527
1947,7,561
1947,8,652
1947,9,530
1947,10,555
1947,11,716
1947,12,713
1948,1,701
1948,2,658
1948,3,683
1948,4,640
1948,5,509
1948,6,622
1948,7,552
1948,8,567
1948,9,530
1948,10,646
1948,11,671
1948,12,677
1949,1,692
1949,2,683
1949,3,668
1949,4,600
1949,5,591
1949,6,634
1949,7,640
1949,8,558
1949,9,555
1949,10,530
1949,11,683
1949,12,722
1950,1,692
1950,2,634
1950,3,671
1950,4,619
1950,5,497
1950,6,594
1950,7,549
1950,8,573
1950,9,536
1950,10,622
1950,11,692
1950,12,808
1951,1,744
1951,2,664
1951,3,695
1951,4,634
1951,5,591
1951,6,570
1951,7,561
1951,8,460
1951,9,555
1951,10,613
1951,11,689
1951,12,664
1952,1,631
1952,2,683
1952,3,634
1952,4,616
1952,5,488
1952,6,555
1952,7,500
1952,8,539
1952,9,512
1952,10,567
1952,11,689
1952,12,777
1953,1,738
1953,2,671
1953,3,628
1953,4,579
1953,5,475
1953,6,543
1953,7,637
1953,8,564
1953,9,494
1953,10,619
1953,11,671
1953,12,725
1954,1,689
1954,2,707
1954,3,695
1954,4,597
1954,5,570
1954,6,597
1954,7,610
1954,8,597
1954,9,533
1954,10,677
1954,11,707
1954,12,762
1955,1,774
1955,2,765
1955,3,683
1955,4,640
1955,5,604
1955,6,634
1955,7,561
1955,8,509
1955,9,628
1955,10,634
1955,11,613
1955,12,802
1956,1,726
1956,2,704
1956,3,700
1956,4,629
1956,5,NA
1956,6,565
1956,7,538
1956,8,NA
1956,9,498
1956,10,614
1956,11,662
1956,12,675
1957,1,NA
1957,2,NA
1957,3,NA
1957,4,NA
1957,5,NA
1957,6,NA
1957,7,NA
1957,8,NA
1957,9,NA
1957,10,NA
1957,11,NA
1957,12,NA
1958,1,681
1958,2,666
1958,3,656
1958,4,656
1958,5,631
1958,6,650
1958,7,618
1958,8,599
1958,9,561
1958,10,531
1958,11,689
1958,12,823
1959,1,782
1959,2,739
1959,3,716
1959,4,679
1959,5,727
1959,6,699
1959,7,761
1959,8,596
1959,9,605
1959,10,648
1959,11,759
1959,12,768
1960,1,748
1960,2,757
1960,3,750
1960,4,743
1960,5,697
1960,6,664
1960,7,657
1960,8,599
1960,9,584
1960,10,626
1960,11,761
1960,12,782
1961,1,733
1961,2,718
1961,3,685
1961,4,690
1961,5,633
1961,6,NA
1961,7,NA
1961,8,NA
1961,9,NA
1961,10,651
1961,11,757
1961,12,673
1962,1,642
1962,2,702
1962,3,676
1962,4,712
1962,5,643
1962,6,587
1962,7,712
1962,8,630
1962,9,620
1962,10,700
1962,11,755
1962,12,831
1963,1,793
1963,2,814
1963,3,755
1963,4,740
1963,5,688
1963,6,579
1963,7,614
1963,8,630
1963,9,548
1963,10,637
1963,11,829
1963,12,709
1964,1,729
1964,2,782
1964,3,775
1964,4,756
1964,5,596
