Cochin sea level data from tide gauge; raw metric data found by downloading full dataset and looking under metdata
https://www.psmsl.org/data/obtaining/stations/438.php
year; tide.level.mm; missing; code
  1939.0417;   704; 0;010
  1939.1250;   652; 0;010
  1939.2083;   674; 0;010
  1939.2917;   631; 0;010
  1939.3750;   555; 0;010
  1939.4583;   646; 0;010
  1939.5417;   631; 0;010
  1939.6250;   549; 0;010
  1939.7083;   558; 0;010
  1939.7917;   649; 0;010
  1939.8750;   683; 0;010
  1939.9583;   805; 0;010
  1940.0417;   616; 0;010
  1940.1250;   549; 0;010
  1940.2083;   475; 0;010
  1940.2917;   555; 0;010
  1940.3750;   536; 0;010
  1940.4583;   555; 0;010
  1940.5417;   530; 0;010
  1940.6250;   549; 0;010
  1940.7083;   457; 0;010
  1940.7917;   552; 0;010
  1940.8750;   664; 0;010
  1940.9583;   658; 0;010
  1941.0417;   610; 0;010
  1941.1250;   604; 0;010
  1941.2083;   530; 0;010
  1941.2917;   521; 0;010
  1941.3750;   524; 0;010
  1941.4583;   561; 0;010
  1941.5417;   524; 0;010
  1941.6250;   530; 0;010
  1941.7083;   512; 0;010
  1941.7917;   539; 0;010
  1941.8750;   628; 0;010
  1941.9583;   610; 0;010
  1942.0417;   619; 0;010
  1942.1250;   604; 0;010
  1942.2083;   640; 0;010
  1942.2917;   512; 0;010
  1942.3750;   475; 0;010
  1942.4583;   506; 0;010
  1942.5417;   582; 0;010
  1942.6250;   472; 0;010
  1942.7083;   457; 0;010
  1942.7917;   546; 0;010
  1942.8750;   631; 0;010
  1942.9583;   677; 0;010
  1943.0417;   695; 0;010
  1943.1250;   652; 0;010
  1943.2083;   573; 0;010
  1943.2917;   543; 0;010
  1943.3750;   567; 0;010
  1943.4583;   567; 0;010
  1943.5417;   549; 0;010
  1943.6250;   472; 0;010
  1943.7083;   466; 0;010
  1943.7917;   555; 0;010
  1943.8750;   634; 0;010
  1943.9583;   719; 0;010
  1944.0417;   652; 0;010
  1944.1250;   600; 0;010
  1944.2083;   616; 0;010
  1944.2917;   570; 0;010
  1944.3750;   491; 0;010
  1944.4583;   518; 0;010
  1944.5417;   521; 0;010
  1944.6250;   488; 0;010
  1944.7083;   500; 0;010
  1944.7917;   552; 0;010
  1944.8750;   616; 0;010
  1944.9583;   625; 0;010
  1945.0417;   628; 0;010
  1945.1250;   591; 0;010
  1945.2083;   585; 0;010
  1945.2917;   530; 0;010
  1945.3750;   475; 0;010
  1945.4583;   500; 0;010
  1945.5417;   512; 0;010
  1945.6250;   518; 0;010
  1945.7083;   463; 0;010
  1945.7917;   524; 0;010
  1945.8750;   689; 0;010
  1945.9583;   664; 0;010
  1946.0417;   616; 0;010
  1946.1250;   628; 0;010
  1946.2083;   588; 0;010
