"year","month","tide.level.mm"
2011,1,NA
2011,2,NA
2011,3,NA
2011,4,NA
2011,5,NA
2011,6,NA
2011,7,NA
2011,8,NA
2011,9,NA
2011,10,717
2011,11,809
2011,12,843
2012,1,809
2012,2,736
2012,3,628
2012,4,706
2012,5,528
2012,6,538
2012,7,551
2012,8,541
2012,9,602
2012,10,640
2012,11,683
2012,12,715
2013,1,696
2013,2,736
2013,3,737
2013,4,599
2013,5,570
2013,6,657
2013,7,633
2013,8,521
2013,9,591
2013,10,612
2013,11,764
2013,12,734
2014,1,716
2014,2,727
2014,3,750
2014,4,642
2014,5,635
2014,6,592
2014,7,576
2014,8,677
2014,9,630
2014,10,799
2014,11,865
2014,12,840
2015,1,890
2015,2,875
2015,3,846
2015,4,851
2015,5,742
2015,6,728
2015,7,644
2015,8,656
2015,9,726
2015,10,839
2015,11,822
2015,12,793
2016,1,815
2016,2,797
2016,3,811
2016,4,810
2016,5,766
2016,6,776
2016,7,727
2016,8,629
2016,9,610
2016,10,674
2016,11,803
2016,12,812
2017,1,824
2017,2,782
2017,3,783
2017,4,673
2017,5,672
2017,6,681
2017,7,615
2017,8,639
2017,9,731
2017,10,753
2017,11,850
2017,12,792
2018,1,813
2018,2,780
2018,3,799
2018,4,942
2018,5,922
2018,6,881
2018,7,842
2018,8,862
2018,9,853
2018,10,886
2018,11,871
2018,12,894
2019,1,674
2019,2,796
2019,3,803
2019,4,NA
2019,5,NA
2019,6,NA
2019,7,NA
2019,8,NA
2019,9,NA
2019,10,NA
2019,11,NA
2019,12,NA
